               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.032302,            0.056301,            0.011591,             0.87145,              0.8535,             0.92692,             0.64894,            0.029559,            0.064439,            0.016226,           0.0073765,           0.0073765,           0.0073765
                  55,              0.0333,            0.059657,            0.011709,             0.88916,             0.84207,             0.91096,             0.65393,            0.029067,            0.064652,             0.01611,            0.007327,            0.007327,            0.007327
                  56,            0.031167,            0.056191,            0.011449,             0.91598,             0.87983,             0.95188,              0.6889,            0.030457,            0.066847,            0.014816,           0.0072775,           0.0072775,           0.0072775
                  57,            0.035468,            0.061808,            0.009969,               0.938,              0.8698,             0.95569,             0.69964,            0.029981,            0.065052,            0.016266,            0.007228,            0.007228,            0.007228
                  58,            0.035031,            0.063097,            0.009123,             0.93679,             0.86065,             0.95725,             0.68955,            0.029519,            0.064552,             0.01631,           0.0071785,           0.0071785,           0.0071785
                  59,             0.03339,            0.058536,            0.010853,             0.90114,             0.85159,             0.95656,             0.70562,            0.026568,            0.062428,            0.015275,            0.007129,            0.007129,            0.007129
                  60,             0.03112,            0.056805,            0.009219,             0.90355,             0.85564,             0.95973,             0.69743,             0.02872,             0.06375,            0.017353,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032967,            0.059758,           0.0091061,             0.92708,             0.90613,             0.95077,             0.72021,            0.028117,            0.063588,            0.012515,             0.00703,             0.00703,             0.00703
                  62,            0.033575,             0.06139,            0.010037,             0.89708,             0.90561,             0.93796,              0.6694,            0.032473,            0.065132,            0.011798,           0.0069805,           0.0069805,           0.0069805
                  63,            0.034237,            0.060245,            0.010667,             0.92994,             0.91886,             0.95836,             0.71058,            0.028829,            0.064485,            0.013278,            0.006931,            0.006931,            0.006931
                  64,            0.030603,            0.057353,           0.0094301,             0.92598,             0.85957,             0.94596,             0.70819,             0.02921,            0.063511,            0.015538,           0.0068815,           0.0068815,           0.0068815
                  65,            0.031073,            0.058476,            0.011017,             0.91494,             0.89036,             0.94151,             0.69396,            0.030071,            0.064997,            0.011373,            0.006832,            0.006832,            0.006832
                  66,             0.03219,            0.058918,           0.0098179,             0.91669,             0.91899,             0.94247,             0.69781,            0.029726,            0.065136,            0.010688,           0.0067825,           0.0067825,           0.0067825
                  67,            0.032481,            0.059515,           0.0099521,             0.91162,             0.90019,             0.93732,             0.72569,            0.026997,            0.063617,            0.011637,            0.006733,            0.006733,            0.006733
                  68,            0.029755,            0.059738,           0.0099418,             0.91594,             0.89686,             0.94279,             0.70935,            0.027979,             0.06325,            0.012629,           0.0066835,           0.0066835,           0.0066835
                  69,            0.031784,            0.057789,             0.00983,             0.91628,             0.85991,             0.94432,             0.72911,            0.026603,             0.05993,            0.018097,            0.006634,            0.006634,            0.006634
                  70,            0.032621,            0.058764,           0.0087628,             0.91433,             0.83075,             0.94024,             0.68748,            0.029049,            0.060088,            0.019613,           0.0065845,           0.0065845,           0.0065845
                  71,            0.032554,            0.057259,           0.0098915,             0.91979,              0.8464,             0.93844,             0.72589,            0.026611,             0.05915,            0.015327,            0.006535,            0.006535,            0.006535
                  72,            0.029164,            0.056025,           0.0090861,             0.92334,             0.88148,             0.93666,             0.72451,            0.027443,            0.059488,            0.011671,           0.0064855,           0.0064855,           0.0064855
                  73,            0.030969,            0.055302,           0.0083776,             0.93106,             0.86635,             0.93951,             0.70669,            0.026517,            0.061509,            0.010567,            0.006436,            0.006436,            0.006436
                  74,            0.031454,            0.058462,           0.0086324,             0.93241,             0.88789,             0.94162,             0.66607,            0.029429,            0.064101,           0.0098658,           0.0063865,           0.0063865,           0.0063865
                  75,            0.033212,            0.059779,           0.0085634,             0.92584,             0.88729,             0.93817,             0.68158,            0.027939,            0.064017,           0.0097982,            0.006337,            0.006337,            0.006337
                  76,            0.029397,             0.05542,           0.0075547,             0.93639,             0.87374,              0.9364,             0.66906,            0.028569,            0.064214,            0.012421,           0.0062875,           0.0062875,           0.0062875
                  77,            0.031028,            0.057101,           0.0096659,             0.92933,             0.89385,              0.9544,             0.71557,             0.02661,            0.060845,            0.010212,            0.006238,            0.006238,            0.006238
                  78,             0.03117,            0.058358,           0.0086339,             0.94899,             0.89185,             0.95473,             0.73712,            0.025518,            0.060275,            0.011056,           0.0061885,           0.0061885,           0.0061885
                  79,             0.03267,            0.060692,           0.0096227,              0.9363,             0.89426,             0.94993,             0.74618,            0.024748,            0.058837,            0.011245,            0.006139,            0.006139,            0.006139
                  80,            0.029465,            0.058901,           0.0082167,             0.93683,             0.91932,             0.96467,             0.72132,            0.028244,            0.061986,           0.0093462,           0.0060895,           0.0060895,           0.0060895
                  81,            0.030687,            0.057741,           0.0084985,              0.8641,             0.86749,             0.95451,             0.71453,            0.026795,            0.062531,            0.015155,             0.00604,             0.00604,             0.00604
                  82,            0.030527,            0.058955,             0.00864,             0.93322,             0.91834,             0.96379,             0.71669,            0.026695,            0.061919,           0.0099058,           0.0059905,           0.0059905,           0.0059905
                  83,            0.031026,            0.057122,           0.0086511,             0.93818,             0.91587,             0.95111,             0.72812,            0.026201,            0.060408,           0.0092693,            0.005941,            0.005941,            0.005941
                  84,            0.029472,             0.05385,           0.0078949,             0.93544,             0.90795,             0.94103,             0.72987,            0.025499,            0.059353,           0.0094744,           0.0058915,           0.0058915,           0.0058915
                  85,            0.030865,            0.056036,           0.0082354,             0.91116,             0.86761,              0.9079,             0.69166,            0.026339,            0.059482,            0.010489,            0.005842,            0.005842,            0.005842
                  86,            0.029432,            0.056386,           0.0071695,             0.84912,             0.86715,              0.8873,             0.65164,            0.027382,            0.059833,            0.012083,           0.0057925,           0.0057925,           0.0057925
                  87,            0.030253,            0.057167,           0.0075521,             0.92312,             0.90488,             0.92626,              0.7051,            0.026681,            0.059462,           0.0093325,            0.005743,            0.005743,            0.005743
                  88,            0.029628,            0.058534,           0.0087441,             0.93226,             0.91393,             0.92792,             0.72424,            0.027049,            0.059601,           0.0089403,           0.0056935,           0.0056935,           0.0056935
                  89,            0.031073,            0.056825,           0.0069066,             0.92712,             0.91747,             0.93308,             0.71801,            0.025449,            0.059006,           0.0097642,            0.005644,            0.005644,            0.005644
                  90,            0.029189,            0.054516,           0.0088969,             0.91508,             0.91507,             0.92581,             0.71079,            0.026858,            0.061406,            0.009273,           0.0055945,           0.0055945,           0.0055945
                  91,            0.031266,            0.059515,            0.007428,              0.9138,             0.87734,             0.91467,             0.70376,            0.026253,             0.06316,            0.010201,            0.005545,            0.005545,            0.005545
                  92,            0.028944,            0.056047,           0.0093084,             0.89875,             0.87115,             0.91873,             0.70281,            0.026745,            0.063866,            0.011145,           0.0054955,           0.0054955,           0.0054955
                  93,            0.029214,            0.055933,           0.0088339,             0.91832,             0.90079,             0.93021,             0.72405,            0.026717,            0.064572,            0.010534,            0.005446,            0.005446,            0.005446
                  94,            0.028919,            0.058786,           0.0079176,             0.91687,             0.90992,             0.92971,             0.73297,            0.026426,             0.06277,            0.010195,           0.0053965,           0.0053965,           0.0053965
                  95,            0.029428,            0.055852,           0.0091612,             0.92066,             0.91594,             0.93005,             0.73755,            0.025058,             0.06042,             0.00973,            0.005347,            0.005347,            0.005347
                  96,             0.02818,            0.053617,           0.0066175,             0.91845,             0.89842,             0.93465,             0.72558,            0.027262,            0.061358,           0.0092621,           0.0052975,           0.0052975,           0.0052975
                  97,             0.02875,            0.056857,           0.0070847,             0.93525,             0.91796,             0.93269,               0.718,            0.026516,            0.061754,           0.0089861,            0.005248,            0.005248,            0.005248
                  98,            0.030048,            0.057747,           0.0069346,             0.91075,             0.86697,             0.91736,             0.69076,            0.027305,            0.062077,            0.010338,           0.0051985,           0.0051985,           0.0051985
                  99,            0.030113,            0.054811,           0.0082381,             0.92696,              0.9078,             0.92908,             0.70537,            0.026273,            0.061206,           0.0094706,            0.005149,            0.005149,            0.005149
                 100,            0.030127,            0.057377,           0.0067797,             0.92681,             0.91817,             0.93381,              0.7243,            0.026846,            0.061364,            0.009376,           0.0050995,           0.0050995,           0.0050995
                 101,            0.029029,            0.057736,            0.008424,             0.88219,             0.87579,             0.92687,             0.71644,            0.025622,            0.062015,            0.010441,             0.00505,             0.00505,             0.00505
                 102,            0.029901,            0.057452,           0.0081048,             0.92508,             0.90853,             0.92869,             0.68488,             0.02709,             0.06374,           0.0093452,           0.0050005,           0.0050005,           0.0050005
                 103,            0.030134,            0.058287,           0.0062321,             0.92523,             0.90894,             0.93078,              0.7135,            0.025144,            0.063737,            0.010205,            0.004951,            0.004951,            0.004951
                 104,            0.028373,            0.057554,           0.0067995,             0.92155,             0.90102,             0.93201,             0.71015,            0.026144,             0.06471,            0.010185,           0.0049015,           0.0049015,           0.0049015
                 105,            0.028021,            0.054415,           0.0068612,             0.92321,             0.90522,              0.9381,             0.72734,            0.026495,            0.064325,           0.0096895,            0.004852,            0.004852,            0.004852
                 106,            0.029877,            0.057612,           0.0065831,             0.92258,             0.90959,             0.94423,             0.71421,            0.026712,            0.064472,           0.0089821,           0.0048025,           0.0048025,           0.0048025
                 107,            0.029158,             0.05495,           0.0080326,             0.91941,             0.91249,             0.94782,              0.7194,            0.026773,            0.064568,           0.0095419,            0.004753,            0.004753,            0.004753
                 108,            0.028107,            0.052003,           0.0079363,             0.91758,             0.90899,             0.94508,             0.73863,            0.025836,            0.063875,           0.0095886,           0.0047035,           0.0047035,           0.0047035
                 109,            0.028767,            0.055598,            0.005704,             0.91807,             0.90904,              0.9401,             0.73518,               0.025,            0.064123,            0.010517,            0.004654,            0.004654,            0.004654
                 110,            0.029746,            0.059163,           0.0064743,             0.91987,             0.90996,             0.93941,             0.73161,            0.024687,            0.063653,            0.010498,           0.0046045,           0.0046045,           0.0046045
                 111,            0.029679,             0.05728,           0.0057371,             0.92632,             0.91315,             0.93296,             0.73436,            0.024544,            0.063102,            0.010854,            0.004555,            0.004555,            0.004555
                 112,            0.027314,            0.055175,            0.005765,             0.91735,             0.91442,             0.93039,             0.71738,            0.026142,            0.061529,            0.012116,           0.0045055,           0.0045055,           0.0045055
                 113,            0.028006,            0.057307,           0.0073034,             0.90503,             0.86993,             0.92602,             0.71709,            0.025663,            0.058631,             0.01196,            0.004456,            0.004456,            0.004456
                 114,            0.028331,            0.057994,            0.007513,             0.94244,             0.89081,             0.93843,             0.72347,            0.025238,            0.057135,            0.012193,           0.0044065,           0.0044065,           0.0044065
                 115,            0.028913,             0.05475,           0.0068139,             0.95091,             0.92665,             0.94629,             0.73657,            0.024209,            0.056226,            0.010096,            0.004357,            0.004357,            0.004357
                 116,             0.02761,             0.05413,           0.0072756,             0.95288,             0.91295,             0.95071,             0.73504,            0.024288,            0.056026,           0.0085938,           0.0043075,           0.0043075,           0.0043075
                 117,            0.027389,            0.058009,            0.007061,             0.94076,             0.90489,             0.95374,             0.74599,            0.026067,            0.057735,           0.0084747,            0.004258,            0.004258,            0.004258
                 118,            0.028613,            0.054251,           0.0062926,             0.93614,             0.90477,             0.95195,             0.74478,            0.026378,            0.058337,           0.0087486,           0.0042085,           0.0042085,           0.0042085
                 119,            0.028761,            0.058722,           0.0060282,             0.93024,             0.88743,             0.94777,             0.74446,            0.025146,            0.058418,           0.0090353,            0.004159,            0.004159,            0.004159
                 120,             0.02703,            0.050006,           0.0065138,             0.90913,             0.90032,             0.94091,             0.73501,            0.025749,            0.059346,            0.010488,           0.0041095,           0.0041095,           0.0041095
                 121,            0.028436,            0.055751,           0.0063666,             0.93116,             0.91119,             0.95034,             0.73076,            0.024934,            0.059846,            0.010656,             0.00406,             0.00406,             0.00406
                 122,            0.027627,            0.054008,           0.0056654,             0.93667,             0.91992,             0.95391,               0.742,            0.024802,             0.05934,            0.010239,           0.0040105,           0.0040105,           0.0040105
                 123,            0.028104,            0.054231,            0.007331,              0.9338,             0.91226,             0.95092,              0.7438,            0.024433,             0.05963,             0.01117,            0.003961,            0.003961,            0.003961
                 124,            0.027879,            0.057116,           0.0066932,             0.92964,              0.9153,             0.94958,              0.7434,            0.024658,            0.060997,            0.010245,           0.0039115,           0.0039115,           0.0039115
                 125,            0.027004,            0.054166,           0.0072354,             0.91696,              0.9096,             0.94424,              0.7381,            0.026019,            0.061356,             0.01398,            0.003862,            0.003862,            0.003862
                 126,            0.027418,            0.053629,           0.0065163,             0.93519,             0.87962,             0.93833,             0.73897,            0.025446,            0.060283,            0.015546,           0.0038125,           0.0038125,           0.0038125
                 127,            0.027238,            0.053145,           0.0069297,             0.93135,             0.87563,             0.93007,             0.73319,            0.024847,            0.059076,            0.015129,            0.003763,            0.003763,            0.003763
                 128,            0.027329,            0.055861,           0.0055689,             0.91914,             0.87827,              0.9198,             0.71849,            0.025688,            0.059811,            0.013094,           0.0037135,           0.0037135,           0.0037135
                 129,            0.027833,            0.053142,            0.006493,             0.91466,             0.90017,             0.92951,             0.72688,            0.024363,             0.06072,            0.013827,            0.003664,            0.003664,            0.003664
                 130,            0.028147,            0.055685,           0.0058648,             0.91612,              0.9002,             0.92992,             0.71958,            0.024779,            0.062035,            0.014129,           0.0036145,           0.0036145,           0.0036145
                 131,            0.028347,            0.053451,           0.0057385,             0.90806,             0.90575,             0.93441,              0.7238,            0.024537,            0.063086,            0.012898,            0.003565,            0.003565,            0.003565
                 132,            0.026536,            0.051429,           0.0052683,             0.90066,             0.90284,             0.93519,             0.72241,            0.024925,            0.063553,            0.011721,           0.0035155,           0.0035155,           0.0035155
                 133,            0.027519,            0.054225,           0.0054567,              0.9036,             0.90485,             0.94051,             0.74169,            0.026389,             0.06462,            0.011236,            0.003466,            0.003466,            0.003466
                 134,            0.026335,            0.050975,           0.0092034,             0.91354,             0.88011,             0.93695,             0.73776,            0.025602,            0.063616,            0.012644,           0.0034165,           0.0034165,           0.0034165
                 135,               0.028,             0.05514,           0.0061131,             0.90385,             0.89542,             0.93779,             0.74351,             0.02456,            0.062173,            0.013975,            0.003367,            0.003367,            0.003367
                 136,            0.026256,            0.052006,           0.0056679,             0.90872,             0.89959,             0.93949,             0.74627,            0.024551,            0.061957,             0.01634,           0.0033175,           0.0033175,           0.0033175
                 137,            0.026179,            0.052308,           0.0051509,             0.91929,             0.90888,             0.94001,             0.74276,            0.025742,            0.061693,            0.014725,            0.003268,            0.003268,            0.003268
                 138,            0.026878,            0.053353,           0.0058448,             0.91551,             0.90311,             0.93908,             0.73921,            0.025681,            0.060868,            0.015034,           0.0032185,           0.0032185,           0.0032185
                 139,            0.026887,            0.053161,           0.0064731,              0.9205,             0.90934,             0.94282,             0.74589,            0.024678,             0.05934,            0.013264,            0.003169,            0.003169,            0.003169
                 140,            0.026239,            0.053826,           0.0055113,             0.91974,             0.90823,             0.94362,             0.75108,            0.025158,            0.059206,            0.012952,           0.0031195,           0.0031195,           0.0031195
                 141,            0.026838,            0.055265,           0.0057908,             0.92938,               0.912,             0.94779,             0.74305,            0.024787,            0.058383,             0.01173,             0.00307,             0.00307,             0.00307
                 142,            0.026604,            0.051194,           0.0046361,             0.92977,             0.91123,              0.9495,             0.74168,             0.02484,            0.058318,            0.011158,           0.0030205,           0.0030205,           0.0030205
                 143,            0.026575,            0.051933,           0.0058255,             0.92126,             0.91365,             0.94755,             0.75112,            0.024183,             0.05925,              0.0105,            0.002971,            0.002971,            0.002971
                 144,            0.025415,             0.05194,           0.0052353,             0.91843,             0.91077,             0.94921,             0.74143,            0.024362,            0.060629,            0.011184,           0.0029215,           0.0029215,           0.0029215
                 145,            0.026403,            0.055537,           0.0052149,             0.92063,             0.91014,             0.95019,             0.75288,            0.024293,             0.06001,            0.011335,            0.002872,            0.002872,            0.002872
                 146,            0.026682,            0.053832,           0.0051886,             0.92595,              0.9086,             0.94716,             0.75432,            0.023629,            0.058502,            0.011253,           0.0028225,           0.0028225,           0.0028225
                 147,            0.027051,            0.054284,           0.0045551,             0.92272,             0.91152,              0.9434,              0.7424,            0.024371,            0.058682,            0.011151,            0.002773,            0.002773,            0.002773
                 148,            0.026456,            0.051286,           0.0036384,             0.92314,             0.91607,             0.94224,             0.74779,            0.023844,            0.058395,            0.010129,           0.0027235,           0.0027235,           0.0027235
                 149,            0.026407,            0.053914,           0.0069408,             0.91838,             0.91532,             0.94156,             0.74555,            0.024033,            0.058479,           0.0094984,            0.002674,            0.002674,            0.002674
                 150,            0.026071,            0.055363,           0.0044724,             0.92141,             0.91822,             0.94046,             0.74492,            0.023881,            0.057751,           0.0093974,           0.0026245,           0.0026245,           0.0026245
                 151,             0.02651,            0.052638,             0.00484,             0.92045,             0.91732,              0.9442,             0.75208,            0.023734,            0.057493,           0.0092732,            0.002575,            0.002575,            0.002575
                 152,            0.025814,            0.050561,           0.0043745,             0.91559,             0.92008,             0.94862,             0.75399,            0.023901,            0.057425,           0.0094734,           0.0025255,           0.0025255,           0.0025255
                 153,            0.025442,            0.051711,           0.0040876,             0.91822,             0.92124,             0.95205,             0.75169,            0.023735,            0.057615,           0.0097118,            0.002476,            0.002476,            0.002476
                 154,            0.024902,            0.052548,           0.0042588,             0.92101,             0.92062,             0.95037,             0.75649,            0.023719,            0.057196,           0.0099478,           0.0024265,           0.0024265,           0.0024265
                 155,            0.026231,            0.052576,           0.0041846,             0.92698,             0.91925,              0.9488,             0.75756,            0.023515,            0.056839,           0.0097166,            0.002377,            0.002377,            0.002377
                 156,            0.026167,            0.054032,           0.0047865,             0.91927,             0.92023,             0.95032,              0.7556,            0.023475,            0.056307,           0.0093761,           0.0023275,           0.0023275,           0.0023275
                 157,            0.025025,            0.051741,           0.0049709,             0.91702,             0.91711,             0.94798,             0.75396,             0.02376,            0.056977,           0.0098118,            0.002278,            0.002278,            0.002278
                 158,             0.02569,            0.052128,           0.0042802,             0.91789,             0.91614,             0.94462,             0.75194,            0.023715,            0.056903,            0.010216,           0.0022285,           0.0022285,           0.0022285
                 159,            0.026023,            0.050548,            0.004576,             0.91651,             0.91322,             0.94569,             0.75167,            0.023673,            0.057528,            0.011123,            0.002179,            0.002179,            0.002179
                 160,            0.025311,            0.052507,            0.003889,             0.91756,             0.91719,             0.94611,              0.7519,            0.023613,            0.057696,            0.012208,           0.0021295,           0.0021295,           0.0021295
                 161,            0.025073,            0.052375,           0.0035512,             0.91814,             0.91287,             0.94602,             0.75255,            0.023602,            0.058992,            0.012975,             0.00208,             0.00208,             0.00208
